Tempos,Serial,2,3,4,6,8,12,Speedup 2,Speedup 3,Speedup 4,Speedup 6,Speedup 8,Speedup 12,Eficiencia 2,Eficiencia 3,Eficiencia 4,Eficiencia 6,Eficiencia 8,Eficiencia 12
2200000000,"34,32688","15,86407","10,58812","7,94423","5,48859","4,59764","3,08759","2,16381","3,24202","4,32098","6,25423","7,46620","11,11770","1,08191","1,08067","1,08025","1,04237","0,93328","0,92648"
2400000000,"37,68474","17,30513","11,54742","8,66671","5,98466","5,01152","3,37360","2,17766","3,26348","4,34822","6,29689","7,51962","11,17050","1,08883","1,08783","1,08705","1,04948","0,93995","0,93087"
2600000000,"40,77876","18,74646","12,50981","9,38771","6,47844","5,44221","3,65222","2,17528","3,25974","4,34384","6,29454","7,49305","11,16546","1,08764","1,08658","1,08596","1,04909","0,93663","0,93045"
2800000000,"43,85770","20,18858","13,46879","10,10812","6,98139","5,85788","3,93528","2,17240","3,25625","4,33886","6,28209","7,48696","11,14474","1,08620","1,08542","1,08471","1,04701","0,93587","0,92873"
3000000000,"46,92508","21,63005","14,43207","10,83094","7,48100","6,28207","4,21981","2,16944","3,25144","4,33250","6,27256","7,46968","11,12018","1,08472","1,08381","1,08313","1,04543","0,93371","0,92668"
3200000000,"50,08402","23,07168","15,39325","11,55152","7,97130","6,69724","4,50430","2,17080","3,25363","4,33571","6,28304","7,47831","11,11917","1,08540","1,08454","1,08393","1,04717","0,93479","0,92660"
3400000000,"53,01344","24,51286","16,35111","12,27250","8,47962","7,11137","4,78444","2,16268","3,24219","4,31970","6,25186","7,45474","11,08039","1,08134","1,08073","1,07992","1,04198","0,93184","0,92337"
3600000000,"56,11943","25,95441","17,31351","12,99432","8,96037","7,52518","5,06972","2,16223","3,24137","4,31876","6,26307","7,45755","11,06954","1,08112","1,08046","1,07969","1,04385","0,93219","0,92246"
3800000000,"59,22620","27,39352","18,27720","13,71708","9,46412","7,95561","5,35319","2,16205","3,24044","4,31770","6,25797","7,44458","11,06372","1,08103","1,08015","1,07942","1,04300","0,93057","0,92198"
4000000000,"62,39654","28,83912","19,23946","14,43968","9,95953","8,38070","5,63983","2,16361","3,24315","4,32118","6,26501","7,44527","11,06355","1,08180","1,08105","1,08030","1,04417","0,93066","0,92196"
4200000000,"65,31089","30,28041","20,19749","15,15846","10,44960","8,79070","5,91947","2,15687","3,23361","4,30854","6,25008","7,42955","11,03324","1,07843","1,07787","1,07714","1,04168","0,92869","0,91944"
4400000000,"68,31440","31,72256","21,15786","15,87793","10,95428","9,20802","6,20300","2,15350","3,22879","4,30247","6,23632","7,41901","11,01312","1,07675","1,07626","1,07562","1,03939","0,92738","0,91776"